Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
115629,"Change Your Thinking, Change Your Life: How to Unlock Your Full Potential for Success and Achievement",Brian Tracy,"Tracy, Brian",,0471735388,9780471735380,5,4.22,John Wiley & Sons,Paperback,270,2005,2003,7/31/2016,8/9/2016,,,read,,,,,,,0,,,,,
8112865,No Excuses!: The Power of Self-Discipline,Brian Tracy,"Tracy, Brian",,1593155824,9781593155827,5,4.14,Vanguard Press,Hardcover,304,2010,2010,7/15/2016,8/9/2016,,,read,,,,,,,0,,,,,
20799234,The Principles of Object-Oriented JavaScript,Nicholas C. Zakas,"Zakas, Nicholas C.",,,,5,4.42,No Starch Press,Kindle Edition,120,2014,2012,,6/2/2014,,,read,"After Reading this book,  I really learnt a  lot about OOPS in JS. Now I know<br/><br/>1. How to create a readonly property in an object.<br/><br/>2. How to create an object which cannot be overridden.<br/> <br/>I haven't completed it yet. But its awesome.<br/><br/><br/>Must read for every JavaScript Developer",,,,,,0,,,,,
17286670,Scarcity: Why Having Too Little Means So Much,Sendhil Mullainathan,"Mullainathan, Sendhil",Eldar Shafir,0805092641,9780805092646,5,3.87,Times Books,Hardcover,304,2013,2013,3/10/2014,3/14/2014,,,read,,,,,,,0,,,,,
17977529,"Choose Yourself: Be Happy, Make Millions, Live the Dream",James Altucher,"Altucher, James",,,9781619610224,5,3.89,,Paperback,276,2013,2013,1/24/2014,3/14/2014,,,read,,,,,,,0,,,,,
12442420,JavaScript Enlightenment,Cody Lindley,"Lindley, Cody",,,,5,3.53,,,,,2012,9/10/2013,8/30/2013,,,read,"Helped me to get a deeper understanding of JavaScript. Since JavaScript is the foundation for all the front end frameworks, I believe a good understanding of JavaScript will help me to be a better front end developer.",,,,,,0,,,,,
33293,Naked Economics: Undressing the Dismal Science,Charles Wheelan,"Wheelan, Charles",,0393324869,9780393324860,5,3.98,W. W. Norton & Company,Paperback,288,2003,2002,8/14/2013,8/30/2013,,,read,"Enjoyed reading this book. I could visualize the examples given in the book with real world scenarios like why human capital is very important to the GDP of the country. Without investing in the very humans in the form of good education and health care, the country cannot expect them to be productive. Without being productive,how can you improve the GDP of a country. very nice. Also surprised to know that only countries with fewer natural resources really became developed countries and countries with vast amount of natural resources are still not productive. ",,,,,,0,,,,,
16158498,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Grant, Adam M.",,0670026557,9780670026555,0,4.04,Viking,Hardcover,320,2013,2013,,6/11/2013,currently-reading,currently-reading (#3),currently-reading,,,,,,,0,,,,,
5629833,"Positivity: Groundbreaking Research Reveals How to Embrace the Hidden Strength of Positive Emotions, Overcome Negativity, and Thrive",Barbara L. Fredrickson,"Fredrickson, Barbara L.",,0307393739,9780307393739,5,3.92,Crown,Hardcover,288,2009,2009,,6/11/2013,,,read,,,,,,,0,,,,,
13707560,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,0393071952,9780393071955,5,3.85,W. W. Norton & Company,Hardcover,260,2013,2012,6/1/2013,4/18/2013,,,read,,,,,,,0,,,,,
13838958,Professional ASP.NET MVC 4,Jon Galloway,"Galloway, Jon",,111834846X,9781118348468,5,3.99,Wrox Press,Paperback,468,2012,2012,3/11/2013,4/18/2013,,,read,"Awesome book.. Awesome authors. If you want to learn ASP.NET MVC4 , I highly recommend this book.",,,,,,0,,,,,
60701,American Heart Association Fitting in Fitness: Hundreds of Simple Ways to Put More Physical Activity into Your Life,American Heart Association,"Association, American Heart",,081292911X,9780812929119,4,4,Harmony,Paperback,192,1997,1997,4/18/2013,4/18/2013,,,read,"Enjoyed reading this book. All we have to do is mix some kind of activity in whatever we do. splitting 1/2 hour of activity per day into three 10 min activity like walking, jogging, stair climbing will help people with busy schedules.",,,,,,0,,,,,
13593553,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,"Pink, Daniel H.",,1594487154,9781594487156,4,3.88,Riverhead Books,Hardcover,272,2012,2012,2/6/2013,3/26/2013,,,read,,,,,,,0,,,,,
13586406,"Mash-up!: How to Use Your Multiple Skills to Give You an Edge, Make Money and Be Happier",Ian Sanders,"Sanders, Ian",David Sloly,0749465905,9780749465902,5,3.61,Kogan Page,Paperback,256,2012,2012,3/26/2013,3/26/2013,,,read,Really enjoyed reading the book and success stories of people who went plural from singular. ,,,,,,0,,,,,
6496815,NurtureShock: New Thinking About Children,Po Bronson,"Bronson, Po",Ashley Merryman,0446504122,9780446504126,0,4.03,Twelve,Hardcover,336,2009,2008,,1/16/2013,to-read,to-read (#6),to-read,,,,,,,0,,,,,
13720498,The Positive Dog: A Story about the Power of Positivity,Jon Gordon,"Gordon, Jon",,0470888555,9780470888551,5,3.83,John Wiley & Sons,Hardcover,103,2012,2012,,1/16/2013,,,read,,,,,,,0,,,,,
13624114,Man vs. Markets: Economics Explained (Plain and Simple),Paddy Hirsch,"Hirsch, Paddy",,0062196650,9780062196651,5,3.87,HarperBusiness,Paperback,224,2012,2012,9/3/2012,9/3/2012,,,read,"As the title says plain and simple, Paddy hirsch has clearly explained the macro economic fundamentals. I enjoyed reading it..",,,,,,0,,,,,
10455681,Professional ASP.NET MVC 3,Jon Galloway,"Galloway, Jon","Phil Haack, Brad Wilson",1118076583,9781118076583,5,3.73,Wrox Press,Paperback,432,2011,2011,,8/14/2012,,,read,,,,,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,0060920432,9780060920432,5,4.09,Harper Perennial,Paperback,320,1990,1990,6/5/2012,8/14/2012,,,read,,,,,,,0,,,,,
9422683,JavaScript Patterns,Stoyan Stefanov,"Stefanov, Stoyan",,0596806752,9780596806750,0,4.16,O'Reilly Media,Paperback,216,2010,2010,,8/14/2012,currently-reading,currently-reading (#1),currently-reading,Learning a lot of stuff from this book. Very interesting and very useful.,,,,,,0,,,,,
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon",0062102427,9780062102423,5,4.05,HarperBusiness,ebook,240,2012,2012,7/15/2012,8/14/2012,,,read,,,,,,,0,,,,,
13358979,"The First 20 Minutes: Surprising Science Reveals How We Can: Exercise Better, Train Smarter, Live Longer",Gretchen  Reynolds,"Reynolds, Gretchen",,1594630933,9781594630934,5,3.81,Hudson Street Press,Hardcover,288,2012,2012,7/8/2012,8/14/2012,,,read,,,,,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,1400069289,9781400069286,5,4,Random House,Hardcover,286,2012,2011,,7/1/2012,,,read,,,,,,,0,,,,,
12030438,"The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,"Hoffman, Reid",Ben Casnocha,,,5,3.86,,Kindle Edition,274,,2012,3/5/2012,3/6/2012,,,read,A very nice read. I would recommend this to my friends.,,,,,,0,,,,,
4224060,The Element: How Finding Your Passion Changes Everything,Ken Robinson,"Robinson, Ken",Lou Aronica,0670020478,9780670020478,5,3.88,Viking,Hardcover,288,2009,2009,11/24/2011,12/1/2011,,,read,I like this book too.  I would recommend this to my friends and family.,,,,,,0,,,,,
99315,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,"Pink, Daniel H.",,1594481717,9781594481710,5,3.95,Riverhead Books,Paperback,304,2006,2004,11/1/2011,12/1/2011,,,read,Very nice read. Really enjoyed it.,,,,,,0,,,,,
998,The Millionaire Next Door,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,0671015206,9780671015206,4,3.98,Gallery Books,Paperback,258,1998,1995,,10/28/2011,,,read,,,,,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,1594488843,9781594488849,5,3.94,Riverhead Books,Hardcover,242,2009,2008,10/10/2011,10/28/2011,,,read,Another nice book on what really motivates us.. I liked it very much.,,,,,,0,,,,,
